state,date,est_infections,est_population,infection_rate,scaled_ir,severe
Utah,2020-07-01,4.86305104843574,3205958,1.516879213151183e-06,0.006670825809399274,0
Utah,2020-07-02,4.45328329354525,3205958,1.3890647642749063e-06,0.006108732320111026,0
Utah,2020-07-03,4.12832529510837,3205958,1.2877041106303857e-06,0.005662975490703291,0
Utah,2020-07-04,3.8090035711652597,3205958,1.1881015194725756e-06,0.005224950146164676,0
Utah,2020-07-05,3.5407696287152404,3205958,1.1044341905649546e-06,0.004857003789093295,0
Utah,2020-07-06,3.3448484132420297,3205958,1.0433225928855056e-06,0.004588251457274598,0
Utah,2020-07-07,3.13647555235773,3205958,9.783270873660012e-07,0.004302418745818978,0
Utah,2020-07-08,2.90771188708721,3205958,9.069712975301641e-07,0.003988615218577943,0
Utah,2020-07-09,2.67790641175862,3205958,8.352905470872108e-07,0.0036733826021913447,0
Utah,2020-07-10,2.44445971925883,3205958,7.624740309320428e-07,0.0033531551943879277,0
Utah,2020-07-11,2.25429471494025,3205958,7.031579062920506e-07,0.0030922988689640013,0
Utah,2020-07-12,2.09902106650081,3205958,6.547250670472945e-07,0.002879304298736858,0
Utah,2020-07-13,1.9446831001066598,3205958,6.065840850399973e-07,0.002667593237959699,0
Utah,2020-07-14,1.803306470579,3205958,5.624859934468886e-07,0.002473661719321168,0
Utah,2020-07-15,1.69947422593459,3205958,5.300987180538829e-07,0.0023312312132692586,0
Utah,2020-07-16,1.60328071303619,3205958,5.000941101025621e-07,0.0021992790362942646,0
Utah,2020-07-17,1.48370713692252,3205958,4.627968104767811e-07,0.0020352555673359305,0
Utah,2020-07-18,1.36886350908317,3205958,4.2697487274729424e-07,0.0018777203422619298,0
Utah,2020-07-19,1.27023893539375,3205958,3.962119701486264e-07,0.0017424333898528334,0
Utah,2020-07-20,1.19060027587973,3205958,3.7137113957192514e-07,0.001633190113694031,0
Utah,2020-07-21,1.10845198980346,3205958,3.4574750817180385e-07,0.0015205042905452573,0
Utah,2020-07-22,1.03128518794617,3205958,3.2167769757001497e-07,0.001414651752380631,0
Utah,2020-07-23,0.973133752858266,3205958,3.035391458210825e-07,0.0013348832916719193,0
Utah,2020-07-24,0.9056859152396209,3205958,2.8250086721024445e-07,0.001242362613947672,0
Utah,2020-07-25,0.835688788696192,3205958,2.606674163217959e-07,0.001146344982913083,0
Utah,2020-07-26,0.780159342102706,3205958,2.433467132453719e-07,0.0010701732001862565,0
Utah,2020-07-27,0.7309517229963091,3205958,2.279979098279856e-07,0.0010026733005651317,0
Utah,2020-07-28,0.685121357836761,3205958,2.1370253691307277e-07,0.0009398061043047293,0
Utah,2020-07-29,0.6453354920498101,3205958,2.0129255968100958e-07,0.000885230369982936,0
Utah,2020-07-30,0.604730843313504,3205958,1.886271882892739e-07,0.0008295314809973603,0
Utah,2020-07-31,0.5636779466243461,3205958,1.7582199973435276e-07,0.0007732177138207175,0
Utah,2020-08-01,0.530464365625754,3205958,1.6546204461373295e-07,0.0007276574240896581,0
Utah,2020-08-02,0.49992431448074104,3205958,1.559360149074757e-07,0.000685764513517108,0
Utah,2020-08-03,0.466180368366651,3205958,1.4541062870026713e-07,0.0006394767024649855,0
Vermont,2020-05-04,11.791969325648699,623989,1.8897719872704004e-05,0.0831070774146309,0
Vermont,2020-05-05,10.5334545414964,623989,1.6880833702992202e-05,0.07423735576267661,0
Vermont,2020-05-06,9.40936328016978,623989,1.5079373643076688e-05,0.06631502006593934,0
Vermont,2020-05-07,8.74010763561179,623989,1.4006829664644394e-05,0.06159826079065834,0
Vermont,2020-05-08,8.041337422485581,623989,1.288698586431104e-05,0.056673489649983186,0
Vermont,2020-05-09,7.260128092006309,623989,1.1635025764887377e-05,0.05116770664249314,0
Vermont,2020-05-10,6.72071928957419,623989,1.077057334275795e-05,0.04736607793345136,0
Vermont,2020-05-11,6.20872236946877,623989,9.95005099363734e-06,0.0437576418426097,0
Vermont,2020-05-12,5.64764616165066,623989,9.050874553318503e-06,0.03980330626264843,0
Vermont,2020-05-13,5.0951139158573895,623989,8.165390601208337e-06,0.03590918655453824,0
Vermont,2020-05-14,4.498778043245309,623989,7.209707291707561e-06,0.031706348997324184,0
Vermont,2020-05-15,4.00380620586127,623989,6.416469209972083e-06,0.028217901759010663,0
